Y,X1,X2,X3,X4,X5,X6
1,1,-1.134630182,4,1,1.117674261,8
1,1,0.764557099,4,1,1.122412509,8
1,1,0.570710138,3,0,0.678906556,9
1,0,-1.351693929,4,0,0.032595748,10
1,1,-2.029885469,2,0,1.519347826,9
1,1,0.590478654,4,1,0.85822494,9
1,0,-1.413069964,3,0,0.295135453,8
1,1,1.610341551,4,0,1.361590218,7
1,1,1.840442547,4,0,2.015517762,7
1,1,1.36829791,3,1,1.365245147,8
1,1,-1.255573135,4,0,1.43957669,10
1,1,-1.384347088,3,0,1.277278208,8
1,1,-0.019579679,4,0,0.857709473,9
1,1,0.162585655,4,1,0.662670988,8
1,1,-0.134708351,4,0,0.64225557,9
1,1,-0.084798638,3,0,0.864736035,9
1,1,-0.572961857,3,1,1.156482319,10
1,0,1.667606436,4,0,1.834903395,8
1,1,-0.576701735,4,1,1.446129637,9
1,1,0.301856343,2,0,0.49225555,9
1,0,-0.389822328,4,1,1.174808488,9
1,1,-0.805946269,4,0,1.39469143,9
1,1,-0.650873893,4,1,1.299095622,9
1,1,-1.826202697,4,1,2.304472643,10
1,1,-0.099831394,3,0,0.607155956,10
1,1,0.129403466,4,1,1.185298364,10
1,1,0.415468903,4,0,1.039675781,9
1,1,1.311512557,4,1,0.439837824,9
1,1,-1.655708251,4,0,0.874992076,10
1,1,-0.55551889,3,1,1.275917999,9
1,1,-1.639797457,3,1,0.87959741,10
1,1,0.288930606,4,1,0.379976313,9
1,1,2.291754533,4,0,1.289163857,10
1,1,0.8720901,4,1,0.804822448,9
1,1,-0.370114642,3,0,0.96846903,9
1,1,1.298529278,4,1,0.923837292,9
1,1,-0.155193736,3,0,1.11155486,10
1,1,0.318035557,4,0,1.441419425,10
1,1,-0.07096823,4,0,0.93121245,9
1,1,0.183467327,4,1,-0.054451863,8
1,1,0.77908929,4,1,1.937543109,9
1,1,-1.256696447,3,1,0.918810252,9
1,1,1.993286448,3,0,1.217595069,9
1,1,-0.350776638,4,0,2.019279749,9
1,1,0.401038505,4,0,1.08064536,10
1,1,2.134618524,4,1,0.671079571,8
1,1,-0.07226607,4,1,1.603642421,10
1,1,-0.602377695,4,1,1.39367896,9
1,1,2.052874733,3,0,1.290413054,9
1,1,-0.991805072,3,0,0.404820218,9
1,1,0.135312616,3,1,1.209957827,10
1,1,-0.457603232,4,1,0.422602487,10
