violation_description,risk_category,viol
Improper food storage,Low Risk,food_storage
High risk vermin infestation,High Risk,vermin
Moderate risk food holding temperature,Moderate Risk,food_handling
Improper cooling methods,High Risk,food_handling
Non service animal,Low Risk,animal
Low risk vermin infestation,Low Risk,vermin
Improper food storage,Low Risk,food_storage
Improper food storage,Low Risk,food_storage
Improper cooling methods,High Risk,food_handling
Improper food storage,Low Risk,food_storage
Other low risk violation,Low Risk,other
Food in poor condition,Moderate Risk,food_storage
Improper thawing methods,Moderate Risk,food_handling
Improper food storage,Low Risk,food_storage
Other low risk violation,Low Risk,other
Unclean nonfood contact surfaces,Low Risk,unhygienic
Improper reheating of food,High Risk,food_handling
Improper or defective plumbing,Low Risk,water
Low risk vermin infestation,Low Risk,vermin
Low risk vermin infestation,Low Risk,vermin
No thermometers or uncalibrated thermometers,Low Risk,equipment
Low risk vermin infestation,Low Risk,vermin
Moderate risk food holding temperature,Moderate Risk,food_handling
Improper or defective plumbing,Low Risk,water
Low risk vermin infestation,Low Risk,vermin
Improper cooling methods,High Risk,food_handling
Unapproved or unmaintained equipment or utensils,Low Risk,equipment
Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,equipment
Improper cooling methods,High Risk,food_handling
Unapproved or unmaintained equipment or utensils,Low Risk,equipment
Improper food storage,Low Risk,food_storage
Improper storage of equipment utensils or linens,Low Risk,equipment
Moderate risk food holding temperature,Moderate Risk,food_handling
Low risk vermin infestation,Low Risk,vermin
Improper food storage,Low Risk,food_storage
High risk food holding temperature,High Risk,food_handling
Insufficient hot water or running water,Moderate Risk,water
Permit license or inspection report not posted,Low Risk,documentation
Low risk vermin infestation,Low Risk,vermin
Inadequate and inaccessible handwashing facilities,Moderate Risk,water
Improper food storage,Low Risk,food_storage
Low risk vermin infestation,Low Risk,vermin
Improper food storage,Low Risk,food_storage
Improper or defective plumbing,Low Risk,water
High risk vermin infestation,High Risk,vermin
Unclean nonfood contact surfaces,Low Risk,unhygienic
High risk vermin infestation,High Risk,vermin
Improper or defective plumbing,Low Risk,water
Unclean hands or improper use of gloves,High Risk,personnel_hygiene
Inadequate ventilation or lighting,Low Risk,facilities
Improper or defective plumbing,Low Risk,water
Moderate risk food holding temperature,Moderate Risk,food_handling
Improper thawing methods,Moderate Risk,food_handling
High risk vermin infestation,High Risk,vermin
Improper thawing methods,Moderate Risk,food_handling
Unclean nonfood contact surfaces,Low Risk,unhygienic
Improper food storage,Low Risk,food_storage
Improper cooling methods,High Risk,food_handling
Improper food storage,Low Risk,food_storage
No plan review or Building Permit,Low Risk,documentation
Improper reheating of food,High Risk,food_handling
Other low risk violation,Low Risk,other
Permit license or inspection report not posted,Low Risk,documentation
Improper thawing methods,Moderate Risk,food_handling
Food safety certificate or food handler card not available,Low Risk,documentation
Improper or defective plumbing,Low Risk,water
Unclean nonfood contact surfaces,Low Risk,unhygienic
Improper or defective plumbing,Low Risk,water
Permit license or inspection report not posted,Low Risk,documentation
Improper food storage,Low Risk,food_storage
Unclean or degraded floors walls or ceilings,Low Risk,unhygienic
Unclean nonfood contact surfaces,Low Risk,unhygienic
Improper food storage,Low Risk,food_storage
Other low risk violation,Low Risk,other
Other low risk violation,Low Risk,other
Employee eating or smoking,Moderate Risk,personnel_behaviour
Noncompliance with HAACP plan or variance,Moderate Risk,noncompliance
Inadequate sewage or wastewater disposal,Moderate Risk,water
High risk vermin infestation,High Risk,vermin
Low risk vermin infestation,Low Risk,vermin
No hot water or running water,High Risk,water
High risk vermin infestation,High Risk,vermin
High risk food holding temperature,High Risk,food_handling
Improper storage of equipment utensils or linens,Low Risk,equipment
High risk vermin infestation,High Risk,vermin
Inadequate and inaccessible handwashing facilities,Moderate Risk,water
Improper food storage,Low Risk,food_storage
Improper or defective plumbing,Low Risk,water
High risk food holding temperature,High Risk,food_handling
Food safety certificate or food handler card not available,Low Risk,documentation
Other low risk violation,Low Risk,other
Improper food storage,Low Risk,food_storage
Low risk vermin infestation,Low Risk,vermin
Improper cooling methods,High Risk,food_handling
High risk vermin infestation,High Risk,vermin
Improper cooling methods,High Risk,food_handling
Moderate risk food holding temperature,Moderate Risk,food_handling
Unpermitted food facility,Low Risk,documentation
Improper cooling methods,High Risk,food_handling
Improper food storage,Low Risk,food_storage
Improper thawing methods,Moderate Risk,food_handling
Low risk vermin infestation,Low Risk,vermin
Improper thawing methods,Moderate Risk,food_handling
Improper thawing methods,Moderate Risk,food_handling
Low risk vermin infestation,Low Risk,vermin
Unclean hands or improper use of gloves,High Risk,personnel_hygiene
Improper cooling methods,High Risk,food_handling
Insufficient hot water or running water,Moderate Risk,water
Improper cooling methods,High Risk,food_handling
Unapproved or unmaintained equipment or utensils,Low Risk,equipment
Other low risk violation,Low Risk,other
Moderate risk vermin infestation,Moderate Risk,vermin
Unclean nonfood contact surfaces,Low Risk,unhygienic
Inadequate ventilation or lighting,Low Risk,facilities
Improper cooling methods,High Risk,food_handling
Other moderate risk violation,Moderate Risk,other
Improper cooling methods,High Risk,food_handling
High risk food holding temperature,High Risk,food_handling
Improper or defective plumbing,Low Risk,water
Moderate risk vermin infestation,Moderate Risk,vermin
Foods not protected from contamination,Moderate Risk,food_storage
Improper storage of equipment utensils or linens,Low Risk,equipment
Unapproved or unmaintained equipment or utensils,Low Risk,equipment
Inadequate and inaccessible handwashing facilities,Moderate Risk,water
Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,equipment
Improper cooling methods,High Risk,food_handling
Foods not protected from contamination,Moderate Risk,food_storage
Moderate risk food holding temperature,Moderate Risk,food_handling
Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,unhygienic
Unapproved or unmaintained equipment or utensils,Low Risk,equipment
Foods not protected from contamination,Moderate Risk,food_storage
Inadequate and inaccessible handwashing facilities,Moderate Risk,water
Moderate risk food holding temperature,Moderate Risk,food_handling
Unapproved or unmaintained equipment or utensils,Low Risk,equipment
Improper storage of equipment utensils or linens,Low Risk,equipment
Moderate risk food holding temperature,Moderate Risk,food_handling
Moderate risk vermin infestation,Moderate Risk,vermin
High risk vermin infestation,High Risk,vermin
Low risk vermin infestation,Low Risk,vermin
Unapproved or unmaintained equipment or utensils,Low Risk,equipment
High risk food holding temperature,High Risk,food_handling
Unclean or degraded floors walls or ceilings,Low Risk,unhygienic
Unclean or degraded floors walls or ceilings,Low Risk,unhygienic
Unclean or degraded floors walls or ceilings,Low Risk,unhygienic
Improper or defective plumbing,Low Risk,water
Moderate risk food holding temperature,Moderate Risk,food_handling
Unapproved or unmaintained equipment or utensils,Low Risk,equipment
Improper or defective plumbing,Low Risk,water
Foods not protected from contamination,Moderate Risk,food_storage
Unclean or unsanitary food contact surfaces,High Risk,unhygienic
Improper or defective plumbing,Low Risk,water
Moderate risk food holding temperature,Moderate Risk,food_handling
Unclean or unsanitary food contact surfaces,High Risk,unhygienic
Improper or defective plumbing,Low Risk,water
Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,unhygienic
No thermometers or uncalibrated thermometers,Low Risk,equipment
Inadequate and inaccessible handwashing facilities,Moderate Risk,water
Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,equipment
Inadequate and inaccessible handwashing facilities,Moderate Risk,water
Improper storage of equipment utensils or linens,Low Risk,equipment
Improper cooling methods,High Risk,food_handling
Foods not protected from contamination,Moderate Risk,food_storage
Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,equipment
Unapproved or unmaintained equipment or utensils,Low Risk,equipment
Moderate risk food holding temperature,Moderate Risk,food_handling
Inadequate dressing rooms or improper storage of personal items,Low Risk,facilities
Unapproved or unmaintained equipment or utensils,Low Risk,equipment
Food safety certificate or food handler card not available,Low Risk,documentation
Low risk vermin infestation,Low Risk,vermin
Inadequate and inaccessible handwashing facilities,Moderate Risk,water
Unclean nonfood contact surfaces,Low Risk,unhygienic
Improper cooling methods,High Risk,food_handling
Improper food storage,Low Risk,food_storage
Noncompliance with shell fish tags or display,Moderate Risk,noncompliance
Inadequate procedures or records for time as a public health control,Moderate Risk,business_process
Improper or defective plumbing,Low Risk,water
No hot water or running water,High Risk,water
Inadequate and inaccessible handwashing facilities,Moderate Risk,water
Unclean or degraded floors walls or ceilings,Low Risk,unhygienic
Foods not protected from contamination,Moderate Risk,food_storage
Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,unhygienic
Unclean nonfood contact surfaces,Low Risk,unhygienic
Unclean nonfood contact surfaces,Low Risk,unhygienic
Permit license or inspection report not posted,Low Risk,documentation
Unclean or degraded floors walls or ceilings,Low Risk,unhygienic
Improper food storage,Low Risk,food_storage
Low risk vermin infestation,Low Risk,vermin
Improper storage of equipment utensils or linens,Low Risk,equipment
Improper cooling methods,High Risk,food_handling
Moderate risk food holding temperature,Moderate Risk,food_handling
Improper cooling methods,High Risk,food_handling
Moderate risk food holding temperature,Moderate Risk,food_handling
Inadequate and inaccessible handwashing facilities,Moderate Risk,water
High risk food holding temperature,High Risk,food_handling
Moderate risk food holding temperature,Moderate Risk,food_handling
Moderate risk vermin infestation,Moderate Risk,vermin
Unapproved or unmaintained equipment or utensils,Low Risk,equipment
Moderate risk food holding temperature,Moderate Risk,food_handling
Improper food storage,Low Risk,food_storage
Improper storage of equipment utensils or linens,Low Risk,equipment
Unclean nonfood contact surfaces,Low Risk,unhygienic
Inadequate warewashing facilities or equipment,Low Risk,equipment
Moderate risk food holding temperature,Moderate Risk,food_handling
High risk food holding temperature,High Risk,food_handling
High risk vermin infestation,High Risk,vermin
Foods not protected from contamination,Moderate Risk,food_storage
Other low risk violation,Low Risk,other
