Content,Like,Retweet,Reply,
   @kttc_kenya       ,5,2,,
" and others need to learn from you ,your Excellency. !",1,,,
 I remember that trip thanks for your kindness . You are a  great scholar and a good host .,2,1,1,
 please be serious with your work . Today guys were left while seated at VIP lounge in eld . Reason given your workers forget to come and call them to board . Poor service.,,,1,
 surely something has to change . Ole has to change !,,,,
?? ?? ?? #tembeakenya,18,3,1,
?? is this Baringo-Nakuru road designed as a private or public road ? - too narrow !,25,6,3,
?? what’s up with your net today ?,3,,1,
"@hero_nairobi you are always amazing. - Speed , service, elegance order and organization even at full house . This why public sector has a lot to learn from the private sector .",20,2,1,
"“ Ask, and it shall be given you; seek, and ye. shall find; knock, and it shall be opened unto you: 8 For every one that asketh receiveth; and he that seeketh. findeth; and to him that knocketh it shall be opened.”
Mathew 7 : 7",18,2,2,
"“A merry heart makes a cheerful countenance,
But by sorrow of the heart the spirit is broken.”
Proverbs 15:13 
Be happy and God bless",,12,,
"“Do not be anxious about anything,but in every situation, by prayer and petition, with thanksgiving, present your requests to God.And the peace of God,which transcends all understanding,will guard your hearts and your minds in Christ Jesus”
Philippians 4",35,8,4,
"“Education is not a ritual, education is useless if it adds no value to human dignity. There are many topics and subjects in our curricula that do not serve our needs -change them ! “
Prof Amon Murwira Zimbabwe Education minister says At commonwealth Tvet conference today",38,19,4,
"“Evildoers do not understand what is right,
    but those who seek the Lord understand it fully.”
Proverbs 28:5",28,2,2,
"“Hard skills gives you the job but soft skills keeps you in your job “
Massage from Directors of HRM Mr Mosiori and Tvet Mr Mulati to Tvet principals during training at kttc today.",,,2,
"“Heritage Tvet education is critical,it not only preserves history also but keeps traditional Tvet practices and products relevant to evolving needs of local communities.Heritage educ should also be treated as a dynamic component “ Ps Min edu KENYA Dr Mwakima says in ATUPA 2022",21,7,2,
"“If my people, who are called by my name, will humble themselves and pray and seek my face and turn from their wicked ways, then I will hear from heaven, and I will forgive their sin and will heal their land.”
2 chronicles 7:14",,9,1,
