Date	PostType	Content	Image	Like	Retweet	Reply	
2023-10-05T04:09:54.000Z	image	Happy teachers’ Day Kenya !	https://pbs.twimg.com/media/F7pehNNXMAAXPST?format=jpg&name=small	19	6	1	
2023-10-05T04:07:38.000Z	image	Happy teachers’ Day Kenya !	https://pbs.twimg.com/media/F7peAOBXAAAcNF0?format=jpg&name=small	48	8	12	
2023-10-03T19:27:04.000Z	text	Excellent achievement Ps		2		1	
2023-09-30T17:14:50.000Z	image	I’m a proud Mwalimu wa Tvet. This gentleman was my student ?? and a diligent photographer and  ASK Kenya official for over 25 yrs . Tvet works Congratulations Kumutai Misoi for this award from ASK .?? ?? ?? ?	https://pbs.twimg.com/media/F7SiN6vWUAEw6Pa?format=jpg&name=small	57	11	3	
2023-09-27T15:01:57.000Z	image	"Pleased to have represented Hon Cs ?? at the world skills general assembly In Dublin Ireland.
Three critical facts emerged for better Tvet system :-Teacher, student and industry. the TEACHER being centre piece.?? ????"	"https://pbs.twimg.com/media/F7CnCQRWEAAbZ_o?format=jpg&name=360x360,https://pbs.twimg.com/media/F7CnCjGWwAAOLcw?format=jpg&name=360x360,https://pbs.twimg.com/media/F7CnCzFXkAAr8Ut?format=jpg&name=small,https://pbs.twimg.com/media/F7CnDEwXEAE7yLl?format=jpg&name=360x360"	73	14	13	
2023-08-11T10:48:03.000Z	image	?? what’s up with your net today ?	https://pbs.twimg.com/media/F3PqNccW0AA80yk?format=jpg&name=small	3		1	
2023-08-10T16:54:06.000Z	image	Kstvet has rolled out CBET methodology training to all TVET trainers starting with national Polys . 600 trainers are now on 1st phase in 5 polys for two weeks We target all MOE  6500.trainers .?? ?? ?? ??	"https://pbs.twimg.com/media/F3L0YxBXoAQIzvM?format=jpg&name=small,https://pbs.twimg.com/media/F3L0ZMiXkAAwXu7?format=jpg&name=360x360,https://pbs.twimg.com/media/F3L0ZkcX0AAkj2O?format=jpg&name=360x360"	55	16	5	
2023-08-04T16:13:59.000Z	text	  		1		1	
2023-07-30T16:37:26.000Z	image	"KSTVET for two days hosted hundreds of craftprenuers from Kenya and 4 African countries. The ideas ,workmanship are amazing .The event was organized by ?? .our youths are truly innovative ?? ?? ?? ?"	"https://pbs.twimg.com/media/F2THAhSW4AAbBlK?format=jpg&name=360x360,https://pbs.twimg.com/media/F2THCesWMAE_B1R?format=jpg&name=360x360,https://pbs.twimg.com/media/F2THEVMWEAE7SDd?format=jpg&name=360x360,https://pbs.twimg.com/media/F2THFeeXIAAjGxa?format=jpg&name=360x360"	56	9	2	
2023-07-27T09:24:02.000Z	image	"Artificial intelligence and Education, how safe are we ? ?? ?? ?? ?? ??"	https://pbs.twimg.com/media/F2CHIPmXoAA8F3K?format=jpg&name=large		21	6	
