admin1,Jan_rain_min,Jan_rain_max,Jan_rain_mean,Jan_rain_count,Jan_rain_median,year,Feb_rain_min,Feb_rain_max,Feb_rain_mean,Feb_rain_median,Mar_rain_min,Mar_rain_max,Mar_rain_mean,Mar_rain_median,Apr_rain_min,Apr_rain_max,Apr_rain_mean,Apr_rain_median,May_rain_min,May_rain_max,May_rain_mean,May_rain_median,Jun_rain_min,Jun_rain_max,Jun_rain_mean,Jun_rain_median,Jul_rain_min,Jul_rain_max,Jul_rain_mean,Jul_rain_median,Aug_rain_min,Aug_rain_max,Aug_rain_mean,Aug_rain_median,Sep_rain_min,Sep_rain_max,Sep_rain_mean,Sep_rain_median,Oct_rain_min,Oct_rain_max,Oct_rain_mean,Oct_rain_median,Nov_rain_min,Nov_rain_max,Nov_rain_mean,Nov_rain_median,Dec_rain_min,Dec_rain_max,Dec_rain_mean,Dec_rain_median,silt_min,silt_max,silt_mean,silt_count,silt_median,bulkdensity_min,bulkdensity_max,bulkdensity_mean,bulkdensity_median,clay_min,clay_max,clay_mean,clay_median,harvested_area,production_mt,yield_mt_ha,value_ksh
Baringo,10.92602539,111.6655655,45.47682757,420,43.49916077,2016,4.620559692,32.93818665,12.03073847,10.19738388,19.35080147,84.70317841,44.77281436,42.24990082,71.38348389,372.8041992,175.6434152,174.6201782,49.06072998,370.8166809,179.7008371,175.5517883,34.04333496,169.9564667,83.70845424,81.56272125,42.82126617,222.7670135,117.1967634,109.4495087,22.68034554,124.5650787,71.87559524,71.08493805,7.318535805,94.77027893,41.09707031,33.20820618,0.910648465,144.5020294,54.57288876,53.08101654,2.477696419,200.9250336,49.95585007,43.17491531,4.90868187,28.82696152,13.80073358,12.83821297,16,42,26.09324772,151682,26,931,1540,1241.430888,1230,18,60,35.21500903,35,,,,
Bomet,81.86338806,140.2728424,115.4881592,112,115.2336578,2016,24.01234055,94.5124054,45.00527954,44.26135254,82.84764862,153.4286804,112.4226946,113.899231,216.6385498,431.1419067,307.0999581,311.6781616,118.9191971,372.0655518,242.3465053,262.1651001,47.78716278,184.0415497,101.7247838,97.68421936,32.78458405,199.2390137,92.35583496,78.74173737,44.69324493,139.3167572,77.41314697,71.81439209,62.29311371,180.0747375,120.4725167,124.4194489,50.43045044,155.5782166,98.01543318,95.33080292,95.31455231,200.9977112,138.4136091,138.4726257,19.06772614,65.86598206,31.80921064,28.55949593,17,36,26.43265014,34885,27,883,1370,1152.181855,1150,25,51,38.39177297,38,,,,
Bungoma,39.14207458,107.2585449,68.93165531,133,70.81191254,2016,11.14904499,35.06508255,24.80974837,25.92930412,68.58859253,127.6621094,87.45113516,85.66727448,250.70961,439.2694702,340.7974624,337.099823,146.6479645,304.3373413,214.5711789,215.6425629,106.5491486,185.8231354,137.4114779,139.541214,114.8347168,214.311615,164.23834,168.479538,77.11524963,124.5513763,98.72601181,98.18894958,86.90731049,135.1419678,107.130551,107.1496887,67.98975372,189.0362091,117.9876204,110.9342422,26.34251785,136.6386719,89.74616718,94.7953186,6.000257969,20.67046356,13.27353571,13.29324532,17,37,24.60315799,43002,24,807,1300,1124.925445,1130,22,50,38.55492768,39,,,,
Busia,69.07085419,130.7957458,87.25304066,88,86.42150879,2016,11.85631752,40.33006287,25.23648626,25.81661224,59.90335846,106.0735474,82.85354892,85.6953125,306.614624,450.486145,378.8045099,382.8345642,151.1563873,311.3522339,218.0561523,215.1413879,39.52614212,162.976944,116.9854292,128.6463165,16.40614319,129.4159698,76.2436357,78.4358902,20.53022385,100.4841843,70.56282737,79.4839325,42.96743774,126.1930618,99.52314897,103.7103958,46.95131683,114.7539444,89.32539506,91.80099487,80.73568726,197.6373138,128.666748,127.6987915,12.22249222,28.89775467,20.23172275,20.36288643,12,33,22.26631745,24054,22,1030,1390,1224.442504,1220,22,55,39.84692775,40,,,,
Elgeyo-Marakwet,23.98572922,115.4015961,55.42899521,146,47.93106461,2016,5.605574608,25.9925518,15.31886438,15.70876884,29.00236702,98.4923172,62.14498609,61.04332352,190.2193298,377.8648376,266.5132973,269.2181396,130.647644,370.8166809,243.1107395,243.7323456,68.02900696,178.009552,122.1048668,117.012085,78.20565033,217.0462036,155.0585001,153.7829895,46.55289459,140.597229,74.97634846,73.61280823,24.94498634,125.7160339,63.46378692,64.26972961,39.97638702,194.7658539,101.3817624,99.39521027,19.5496273,137.7962189,62.32757652,59.01904297,8.564285278,21.18019867,13.46296169,12.88029289,15,36,25.89124379,43078,26,888,1500,1175.92683,1160,21,55,38.09206556,38,,,,
Embu,18.51867676,116.1366425,49.8725253,132,45.25676346,2016,10.26675415,52.20119095,18.76993075,15.76719856,33.73961639,106.7687073,50.99897905,48.69407272,198.3014069,387.8860168,298.356179,292.6261597,45.02775955,161.0020294,85.97130978,78.45038605,1.433164835,67.87806702,14.85524495,9.976433754,1.560643196,53.79816818,13.6953051,9.151288033,1.038608789,87.41001892,18.20706084,12.13637543,1.015753508,70.04740906,14.02694517,8.364865303,16.81765175,76.61816406,34.44605232,30.96532059,177.4351349,417.2054138,301.1022727,315.932312,18.67900276,46.91507721,31.15298,31.26247215,11,39,19.60412876,39576,18,742,1440,1198.544572,1230,12,66,39.14913079,38,,,,
Garissa,0.530995607,34.86604309,11.22966536,1517,8.752555847,2016,0.473217964,15.06267548,8.054679775,7.88768959,3.976369143,22.13226509,14.18419887,14.26717758,14.94372749,153.8104706,81.98379305,79.60522461,0.862771213,293.8664856,53.97305022,16.52967834,4.39E-09,94.10325623,18.75738634,3.200599432,0,38.62482834,13.96783459,12.40302849,1.41E-08,39.40873718,7.389893705,3.465167761,0.374280155,28.93000031,11.43452461,11.2923317,1.477403402,20.88916397,10.38051561,10.96712971,11.7595768,277.5066833,156.4705834,161.2518616,7.347105026,69.17504883,28.33189478,27.3231678,8,33,20.52270318,611280,21,1260,1630,1406.490459,1410,13,50,30.81391179,31,,,,
Homa Bay,42.65998459,139.7286835,74.25513799,199,72.15143585,2016,12.08961773,48.60205841,27.62529689,27.99021149,48.52519989,145.8584137,82.5767902,81.39355469,231.7291412,524.7288818,327.4447432,324.5367126,97.61387634,249.0312195,166.6595085,166.5439758,19.40171623,101.6108551,48.59826967,44.03061676,8.990089417,108.1654053,41.64928156,31.92226028,16.01356316,90.77763367,42.14174388,35.00947952,36.33198166,154.2249756,81.31030151,75.00931549,26.45956421,124.5523987,75.53414534,76.55736542,35.62934494,238.5633087,124.1106509,123.4669495,17.03308296,41.07384491,27.09619386,26.35174942,14,35,23.92196401,44236,24,935,1380,1216.903879,1220,17,55,39.02210869,40,,,,
Isiolo,6.778495312,64.36233521,21.02372297,951,19.48983765,2016,5.396686554,29.10665894,9.766303767,9.027693748,3.881561518,62.36330795,14.26377867,10.22252846,28.07000542,240.8845215,87.52349501,74.61216736,6.634058952,66.73304749,22.20837441,18.19944763,4.74E-09,32.49808502,1.416482085,0.218413547,0,18.86664963,1.759675773,1.79E-08,0,15.61967087,0.916800354,5.54E-08,3.18E-09,6.272966385,1.178300827,0.958206415,0.297342539,38.32952881,11.65173686,10.52924061,8.682480812,305.5441895,94.70004436,68.4626236,7.955330372,60.08740234,25.51105333,23.96803665,8,33,19.36160912,356642,19,1040,1610,1423.045138,1440,13,56,30.46520881,30,,,,
Kajiado,32.4011116,203.0032196,93.76528406,802,92.66143036,2016,10.51271534,57.2975235,24.14261709,24.46002007,24.60533905,96.50991821,55.76990629,55.84630203,99.04529572,311.9409485,164.72327,159.2972717,3.275472164,184.8368378,53.06161354,50.37934494,0.110680073,39.96017075,8.398315734,7.408381939,1.08E-08,22.29863548,1.664048345,0.476676881,0,36.26170349,4.230839832,2.184290409,6.50E-09,32.29479218,3.411842708,1.781140089,1.276528835,48.98379517,18.42050026,17.9782753,49.96799469,212.9678192,114.9973504,111.4205704,11.15223312,91.79559326,32.65909445,27.03535461,10,48,21.30290462,302105,21,896,1580,1297.289353,1310,11,57,34.8617666,34,,,,
